,train_id
0,17542
1,17132
2,15246
3,4611
4,18930
5,4735
6,10220
7,9450
8,3102
9,19178
10,6548
11,5316
12,16982
13,1898
14,4205
15,3342
16,16387
17,10314
18,8077
19,3015
20,18249
21,564
22,18425
23,11332
24,9443
25,18338
26,16675
27,9305
28,7143
29,4413
30,19722
31,19959
32,4587
33,12106
34,9755
35,2799
36,15111
37,15970
38,750
39,13695
40,14506
41,17708
42,2417
43,19368
44,18251
45,19403
46,19565
47,276
48,18141
49,7471
50,16970
51,17696
52,7954
53,6395
54,19506
55,9649
56,5583
57,1252
58,3268
59,3770
60,16986
61,17692
62,13048
63,13710
64,11430
65,18331
66,5825
67,7859
68,7179
69,19957
70,15017
71,8762
72,13128
73,5819
74,16470
75,14234
76,8407
77,17427
78,2212
79,12139
80,15254
81,9540
82,4350
83,17762
84,610
85,13555
86,7623
87,10717
88,3627
89,16623
90,14237
91,1452
92,15773
93,1386
94,3069
95,5200
96,8073
97,17518
98,13375
99,18606
100,670
101,7151
102,15961
103,18927
104,9561
105,14451
106,12027
107,16890
108,3213
109,6471
110,16955
111,9210
112,12823
113,19595
114,5496
115,3179
116,3040
117,14554
118,16033
119,16580
120,12879
121,12459
122,18
123,3814
124,6544
125,6704
126,18213
127,13716
128,16571
129,17825
130,11727
131,3190
132,6316
133,3803
134,9828
135,19928
136,4896
137,1182
138,17000
139,2614
140,7159
141,5023
142,515
143,19759
144,9415
145,14052
146,15592
147,5264
148,2660
149,2550
150,2472
151,16062
152,9392
153,1647
154,7182
155,5757
156,1982
157,19621
158,16598
159,13582
160,16166
161,16066
162,6315
163,17803
164,6465
165,12228
166,5863
167,3046
168,13534
169,12158
170,5175
171,19593
172,17710
173,4048
174,845
175,16584
176,442
177,5877
178,430
179,11106
180,18228
181,6642
182,15671
183,6711
184,7560
185,5706
186,16915
187,13682
188,414
189,17404
190,17152
191,15451
192,2632
193,15363
194,1218
195,2028
196,14861
197,7273
198,3752
199,4639
200,10926
201,13076
202,10620
203,15364
204,2275
205,4452
206,7007
207,19880
208,13325
209,3778
210,123
211,12272
212,4916
213,18736
214,5360
215,18755
216,9547
217,4726
218,9859
219,4160
220,14538
221,1290
222,12591
223,847
224,9505
225,11326
226,19480
227,14053
228,19188
229,2610
230,18785
231,13017
232,15523
233,13418
234,18659
235,6210
236,7449
237,13883
238,15174
239,19568
240,9801
241,19424
242,2507
243,9384
244,3442
245,1745
246,15696
247,14341
248,5944
249,18054
250,14513
251,3614
252,19743
253,12744
254,3330
255,11273
256,6502
257,17233
258,10879
259,12402
260,19540
261,2827
262,8486
263,19215
264,4546
265,14906
266,11803
267,18172
268,10402
269,18815
270,2697
271,11558
272,10079
273,2350
274,4612
275,4730
276,11496
277,4641
278,5690
279,7093
280,12987
281,14551
282,2741
283,8661
284,9497
285,2617
286,10098
287,8571
288,14736
289,12820
290,19260
291,13605
292,9020
293,12866
294,887
295,19900
296,1285
297,11715
298,19156
299,3198
300,17956
301,8980
302,5452
303,1967
304,4209
305,796
306,6953
307,15661
308,9703
309,2206
310,7487
311,2858
312,8131
313,3710
314,7462
315,19510
316,10730
317,19605
318,18786
319,9792
320,1655
321,14552
322,11749
323,4097
324,15341
325,13091
326,4994
327,13356
328,17463
329,14510
330,5596
331,792
332,16499
333,14485
334,16375
335,3548
336,652
337,7445
338,13225
339,2016
340,4614
341,15996
342,3928
343,705
344,15138
345,7937
346,17570
347,9717
348,5455
349,11471
350,17299
351,16632
352,19648
353,18759
354,5671
355,9674
356,15949
357,8130
358,13354
359,11358
360,19787
361,14037
362,9196
363,15025
364,10766
365,10847
366,6557
367,13045
368,17458
369,6330
370,18655
371,8301
372,5145
373,9055
374,10710
375,14384
376,18227
377,15337
378,126
379,8239
380,18107
381,8510
382,7827
383,7722
384,11300
385,1649
386,2798
387,3645
388,9700
389,1900
390,12442
391,13370
392,9767
393,9255
394,10052
395,6819
396,9395
397,14092
398,9403
399,591
400,919
401,6350
402,11258
403,489
404,2127
405,7872
406,7409
407,8806
408,13315
409,17822
410,7996
411,10194
412,3957
413,2342
414,14542
415,6820
416,1532
417,17903
418,8621
419,12409
420,8241
421,3457
422,1367
423,1750
424,320
425,15175
426,12812
427,17095
428,16016
429,14934
430,6726
431,17326
432,15380
433,13795
434,13155
435,6762
436,13075
437,5099
438,13172
439,5322
440,1432
441,3807
442,9332
443,15566
444,4915
445,10364
446,9874
447,7669
448,14646
449,10211
450,8883
451,4244
452,18853
453,447
454,17480
455,8873
456,3189
457,8885
458,10324
459,13537
460,11925
461,10649
462,17651
463,19558
464,13371
465,14508
466,10997
467,8896
468,14888
469,18514
470,1820
471,8924
472,15530
473,8880
474,11684
475,18342
476,11560
477,12660
478,10308
479,16200
480,4795
481,15084
482,10608
483,190
484,704
485,3750
486,14396
487,17680
488,6304
489,5077
490,15259
491,14412
492,18244
493,8495
494,16266
495,16348
496,6962
497,9421
498,2490
499,202
500,15382
501,13551
502,6322
503,10807
504,7206
505,965
506,1619
507,11654
508,18099
509,19021
510,1244
511,14723
512,9982
513,19687
514,519
515,6359
516,15679
517,897
518,7511
519,4716
520,6895
521,18060
522,7259
523,18715
524,4189
525,12399
526,19664
527,6911
528,9313
529,3335
530,4276
531,3881
532,7576
533,10355
534,14018
535,15327
536,2007
537,13959
538,5484
539,12974
540,1522
541,10863
542,9344
543,10341
544,13752
545,6928
546,342
547,18552
548,10297
549,17411
550,6388
551,7615
552,8740
553,7846
554,3848
555,5753
556,16491
557,14599
558,19903
559,18909
560,18299
561,8761
562,10012
563,9123
564,6815
565,3418
566,5731
567,19434
568,13214
569,11269
570,19551
571,6460
572,4812
573,19402
574,154
575,1850
576,668
577,12381
578,9275
579,1841
580,10269
581,19193
582,17169
583,2450
584,10645
585,2535
586,3025
587,2328
588,11207
589,7541
590,18096
591,19706
592,13348
593,4891
594,17239
595,2620
596,7116
597,6661
598,3159
599,18767
600,16508
601,1140
602,15469
603,15233
604,18622
605,19575
606,6588
607,1685
608,14675
609,3658
610,7908
611,12385
612,10615
613,7244
614,19831
615,19519
616,12976
617,8884
618,5566
619,5962
620,4599
621,3604
622,4186
623,19077
624,7492
625,6472
626,16258
627,8859
628,4574
629,10913
630,8670
631,19956
632,14356
633,9082
634,19955
635,9159
636,19896
637,10806
638,1075
639,9845
640,11389
641,12816
642,13943
643,13205
644,8255
645,6976
646,17744
647,18846
648,1255
649,2150
650,4010
651,7841
652,7010
653,17690
654,18375
655,19369
656,4806
657,774
658,13071
659,6303
660,6663
661,10972
662,10776
663,18723
664,3048
665,4772
666,1681
667,16809
668,7472
669,16678
670,12380
671,1839
672,19725
673,19622
674,7627
675,1164
676,5415
677,9138
678,18987
679,6788
680,11295
681,10804
682,17860
683,15365
684,18560
685,17840
686,3247
687,9582
688,886
689,16234
690,11519
691,15179
692,8044
693,16131
694,14059
695,10167
696,19166
697,109
698,13439
699,10504
700,10685
701,15625
702,11782
703,4356
704,4548
705,16163
706,5345
707,10323
708,13843
709,19208
710,6052
711,18190
712,8848
713,2062
714,308
715,12449
716,15698
717,3110
718,18887
719,12719
720,16977
721,9609
722,18201
723,5013
724,5896
725,4970
726,16242
727,12723
728,6596
729,9556
730,19058
731,4402
732,17408
